timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6,time_since_start
1658381904.2109823,118.08,120.72,120.0,120.72,118.8,120.72,1.320014591217041
1658381904.3108833,118.08,120.72,119.76,120.72,118.8,120.72,1.343990821838379
1658381904.4107819,117.6,120.72,116.39999999999999,122.4,120.24,120.96000000000001,1.367966480255127
1658381904.5109732,112.08000000000001,120.72,107.52,130.08,121.68,120.96000000000001,1.3920124053955079
1658381904.6108902,103.2,120.96000000000001,96.0,138.23999999999998,124.56,120.96000000000001,1.4159924697875976
1658381904.7108743,93.60000000000001,120.72,84.96,146.88,127.44000000000001,120.96000000000001,1.4399886703491211
1658381904.8111153,83.52,120.72,76.32000000000001,154.56,130.08,120.72,1.4640464973449707
1658381904.9108646,73.67999999999999,120.72,65.76,163.20000000000002,132.72,120.96000000000001,1.4879863357543945
1658381905.0108676,63.6,120.48,55.440000000000005,171.84,136.07999999999998,120.72,1.5119870567321776
1658381905.1109042,54.72,120.72,45.12,179.28,138.72,120.72,1.5359958457946778
1658381905.2110066,43.92,120.72,34.8,188.16,141.84,120.72,1.5600204277038574
1658381905.310955,33.839999999999996,120.72,25.439999999999998,196.32,144.72,120.72,1.584008045196533
1658381905.4109771,26.88,120.96000000000001,18.72,200.16,146.64,120.96000000000001,1.6080133438110351
1658381905.5110393,24.72,120.72,18.72,200.16,146.88,120.72,1.6320282554626464
1658381905.6110673,24.72,120.72,18.72,200.16,147.12,120.72,1.656034984588623
1658381905.7109478,24.72,120.72,18.72,200.16,147.12,120.96000000000001,1.6800062942504883
1658381905.8109777,24.72,120.72,18.72,200.16,147.35999999999999,120.72,1.7040134811401368
1658381905.911024,24.72,120.72,18.72,200.16,147.35999999999999,120.72,1.7280246162414552
1658381906.0109415,24.72,120.72,18.72,200.16,147.35999999999999,120.72,1.7520047950744628
1658381906.1109114,24.72,120.72,18.72,200.16,147.35999999999999,120.72,1.7759975624084472
1658381906.2109647,24.72,120.96000000000001,18.72,200.16,147.35999999999999,120.72,1.800010356903076
1658381906.3109446,24.72,120.96000000000001,18.72,200.16,147.6,120.72,1.8240055274963378
1658381906.4111173,24.72,120.72,18.72,200.16,147.6,123.84,1.848046989440918
1658381906.5109253,24.72,120.72,18.72,200.16,147.12,133.20000000000002,1.872000904083252
1658381906.6110198,24.72,120.72,18.72,200.16,147.35999999999999,142.79999999999998,1.896023597717285
1658381906.7109697,24.72,120.72,18.72,200.16,147.35999999999999,153.84,1.9200115585327147
1658381906.8108933,24.72,120.72,18.72,200.16,147.6,164.16000000000003,1.9439932250976562
1658381906.9109085,24.72,120.72,18.72,200.16,147.35999999999999,175.2,1.9679968643188475
1658381907.0109825,24.72,120.72,18.72,200.16,147.35999999999999,186.0,1.9920146369934082
1658381907.1109061,25.919999999999998,120.72,18.72,200.16,147.35999999999999,195.6,2.0159963035583495
1658381907.210894,27.12,120.96000000000001,18.72,200.16,147.35999999999999,206.16,2.0399934196472165
1658381907.3109202,28.56,120.72,18.72,200.16,147.35999999999999,216.96,2.0639996910095215
1658381907.4108768,28.56,120.96000000000001,18.72,200.16,147.35999999999999,224.4,2.0879892539978027
1658381907.5109482,28.32,120.96000000000001,18.72,200.16,147.35999999999999,224.4,2.1120063972473146
1658381907.61093,28.56,120.72,18.72,200.16,147.35999999999999,224.4,2.136002025604248
1658381907.7109773,28.32,120.72,18.72,200.16,147.35999999999999,224.4,2.1600133895874025
1658381907.810853,28.56,120.96000000000001,18.72,200.16,147.6,224.64000000000001,2.183983554840088
1658381907.9108663,28.56,120.72,18.72,200.16,147.35999999999999,224.4,2.2079867362976073
1658381908.0109155,28.56,120.72,18.72,200.16,147.35999999999999,224.64000000000001,2.2319985580444337
1658381908.110896,28.56,120.72,18.72,200.16,147.35999999999999,224.64000000000001,2.2559939002990723
1658381908.2109387,28.56,120.72,18.72,200.16,147.35999999999999,224.64000000000001,2.280004119873047
1658381908.3108556,28.56,120.72,18.72,200.16,147.35999999999999,224.4,2.3039841842651367
1658381908.410821,28.56,120.72,18.72,200.16,146.4,224.64000000000001,2.3279758644104
1658381908.510814,28.56,121.68,18.72,196.07999999999998,141.12,224.64000000000001,2.3519741821289064
1658381908.6108854,28.56,124.08,18.72,190.56,133.20000000000002,224.64000000000001,2.375991325378418
1658381908.7108538,28.56,126.48,18.72,184.56,125.28,224.88000000000002,2.3999837493896483
1658381908.8110223,28.56,128.88,18.72,178.8,116.64,224.88000000000002,2.4240241813659664
1658381908.9108686,28.56,131.28,18.72,173.28,109.68,225.11999999999998,2.447987308502197
1658381909.0108795,28.56,133.92000000000002,18.48,168.0,102.0,225.11999999999998,2.4719899177551268
1658381909.1108823,28.56,135.83999999999997,18.48,162.48000000000002,95.28,225.11999999999998,2.4959905815124515
1658381909.210833,28.56,138.23999999999998,18.48,157.44,87.36,225.11999999999998,2.519978771209717
1658381909.3108816,28.32,140.39999999999998,17.759999999999998,151.68,79.68,225.35999999999999,2.5439904212951663
1658381909.4111376,26.88,142.56,18.0,146.88,72.96,225.35999999999999,2.5680518531799317
1658381909.51098,26.88,142.56,17.759999999999998,146.4,72.72,225.6,2.5920140075683595
1658381909.6109445,26.88,142.79999999999998,18.0,146.4,72.72,225.35999999999999,2.616005516052246
1658381909.7109468,26.88,142.56,18.0,146.16,72.72,225.35999999999999,2.6400060653686523
1658381909.8110156,26.88,142.79999999999998,17.759999999999998,146.16,72.72,225.6,2.6640225791931154
1658381909.910948,26.88,142.56,17.759999999999998,146.16,72.96,225.35999999999999,2.688006362915039
1658381910.011044,26.88,142.79999999999998,18.0,146.16,72.72,225.35999999999999,2.712029399871826
1658381910.1109521,26.88,142.56,17.759999999999998,146.16,72.72,225.6,2.7360073471069337
1658381910.210988,26.88,142.79999999999998,17.759999999999998,146.16,72.72,225.6,2.7600159645080566
1658381910.3109417,26.88,143.04,18.0,146.16,72.96,225.35999999999999,2.78400484085083
1658381910.4109364,26.88,142.56,17.759999999999998,146.4,72.72,225.35999999999999,2.808003559112549
1658381910.5108924,27.6,142.56,17.759999999999998,146.4,72.96,225.35999999999999,2.831993007659912
1658381910.6109452,33.839999999999996,142.79999999999998,18.24,146.16,72.72,225.35999999999999,2.856005687713623
1658381910.7108839,42.48,142.56,18.48,146.16,72.96,225.35999999999999,2.8799909591674804
1658381910.8109832,49.919999999999995,142.79999999999998,19.68,146.16,72.96,225.35999999999999,2.904014797210693
1658381910.910934,58.08,142.79999999999998,20.400000000000002,146.16,72.96,225.35999999999999,2.928002986907959
1658381911.0109124,66.96000000000001,142.79999999999998,21.119999999999997,145.92,72.72,225.35999999999999,2.951997814178467
1658381911.110961,75.12,142.56,21.84,145.92,72.72,225.35999999999999,2.976009464263916
1658381911.2109385,81.84,142.79999999999998,22.32,145.68,72.96,225.35999999999999,3.0000040626525877
1658381911.3108466,88.8,142.56,23.28,145.68,72.96,225.35999999999999,3.0239820098876953
1658381911.410888,96.48,142.56,23.52,145.68,73.2,225.35999999999999,3.0479919433593747
1658381911.5109282,99.36,142.79999999999998,23.52,145.68,73.44,225.35999999999999,3.07200159072876
1658381911.6108932,99.36,142.56,23.52,145.68,73.44,225.6,3.095993213653564
1658381911.7108872,99.36,142.56,23.52,145.68,73.2,225.35999999999999,3.1199917602539062
1658381911.8108606,99.36,142.07999999999998,23.52,145.68,73.44,225.35999999999999,3.1439853858947755
1658381911.9109054,99.83999999999999,142.79999999999998,23.52,145.68,73.44,225.35999999999999,3.167996120452881
1658381912.0110426,99.83999999999999,142.79999999999998,23.28,145.68,73.44,225.35999999999999,3.192029056549072
1658381912.1110613,99.83999999999999,142.79999999999998,23.52,145.68,73.67999999999999,225.35999999999999,3.2160335540771485
1658381912.210831,99.83999999999999,142.56,23.52,145.68,73.44,225.6,3.239978256225586
